Category: All categories,
,
Week,DSE: (Hong Kong)
30/3/2025,100
7/4/2024,96
16/4/2023,87
23/4/2023,82
17/4/2022,78
26/4/2020,76
25/4/2021,72
24/4/2022,72
14/4/2024,72
6/4/2025,70
14/7/2024,65
16/7/2023,62
19/4/2020,58
17/7/2022,58
23/3/2025,58
16/3/2025,54
18/4/2021,53
9/3/2025,51
30/4/2023,50
19/7/2020,49
2/5/2021,49
9/4/2023,47
5/1/2025,46
10/3/2024,45
24/3/2024,45
2/3/2025,45
18/7/2021,44
10/4/2022,44
1/5/2022,44
19/3/2023,44
17/3/2024,44
31/3/2024,44
21/4/2024,43
3/4/2022,42
26/3/2023,41
16/2/2025,41
23/2/2025,41
2/4/2023,39
3/5/2020,38
28/1/2024,38
8/12/2024,38
11/4/2021,37
7/1/2024,36
3/3/2024,36
29/12/2024,36
19/1/2025,36
9/2/2025,36
27/3/2022,35
12/3/2023,35
25/2/2024,35
5/3/2023,34
20/10/2024,34
12/1/2025,34
12/4/2020,33
18/2/2024,33
29/9/2024,33
15/12/2024,33
10/5/2020,32
9/5/2021,32
31/12/2023,32
21/1/2024,32
13/10/2024,32
27/10/2024,32
17/11/2024,32
24/11/2024,32
14/1/2024,31
3/11/2024,31
1/12/2024,31
2/2/2025,31
4/4/2021,30
2/1/2022,30
20/3/2022,30
8/1/2023,30
19/2/2023,30
26/2/2023,30
7/5/2023,30
26/11/2023,30
3/12/2023,30
19/5/2024,30
10/11/2024,30
22/12/2024,30
17/5/2020,29
5/2/2023,29
12/2/2023,29
28/4/2024,29
1/9/2024,29
8/9/2024,29
22/9/2024,29
9/1/2022,28
20/2/2022,28
27/2/2022,28
1/1/2023,28
29/1/2023,28
22/10/2023,28
29/10/2023,28
19/11/2023,28
26/5/2024,28
2/6/2024,28
9/6/2024,28
15/9/2024,28
6/10/2024,28
21/3/2021,27
28/3/2021,27
24/9/2023,27
1/10/2023,27
15/10/2023,27
12/11/2023,27
10/12/2023,27
4/2/2024,27
14/3/2021,26
23/1/2022,26
6/3/2022,26
13/3/2022,26
8/5/2022,26
3/7/2022,26
11/12/2022,26
10/9/2023,26
5/11/2023,26
11/2/2024,26
3/1/2021,25
10/1/2021,25
5/12/2021,25
23/10/2022,25
13/11/2022,25
27/11/2022,25
4/12/2022,25
4/6/2023,25
8/10/2023,25
6/12/2020,24
17/1/2021,24
24/1/2021,24
21/2/2021,24
28/2/2021,24
7/3/2021,24
24/10/2021,24
14/11/2021,24
16/1/2022,24
13/2/2022,24
18/9/2022,24
9/10/2022,24
16/10/2022,24
6/11/2022,24
28/5/2023,24
3/9/2023,24
17/9/2023,24
24/12/2023,24
26/1/2025,24
13/12/2020,23
31/1/2021,23
17/10/2021,23
7/11/2021,23
21/11/2021,23
28/11/2021,23
12/12/2021,23
6/2/2022,23
2/10/2022,23
20/11/2022,23
15/1/2023,23
14/5/2023,23
11/6/2023,23
3/10/2021,22
19/6/2022,22
26/6/2022,22
10/7/2022,22
4/9/2022,22
11/9/2022,22
25/9/2022,22
17/12/2023,22
7/7/2024,22
30/8/2020,21
29/11/2020,21
30/5/2021,21
10/10/2021,21
31/10/2021,21
30/10/2022,21
5/5/2024,21
21/7/2024,21
26/7/2020,20
6/9/2020,20
13/9/2020,20
20/9/2020,20
15/11/2020,20
12/9/2021,20
26/12/2021,20
15/5/2022,20
24/7/2022,20
25/12/2022,20
21/5/2023,20
12/5/2024,20
16/6/2024,20
18/8/2024,20
25/8/2024,20
4/10/2020,19
18/10/2020,19
8/11/2020,19
22/11/2020,19
16/5/2021,19
6/6/2021,19
5/9/2021,19
19/9/2021,19
26/9/2021,19
12/6/2022,19
9/7/2023,19
23/7/2023,19
9/8/2020,18
16/8/2020,18
11/10/2020,18
1/11/2020,18
22/5/2022,18
5/6/2022,18
28/8/2022,18
18/12/2022,18
23/6/2024,18
11/8/2024,18
5/7/2020,17
23/8/2020,17
27/9/2020,17
14/2/2021,17
23/5/2021,17
29/8/2021,17
30/1/2022,17
7/8/2022,17
22/1/2023,17
13/8/2023,17
20/8/2023,17
27/8/2023,17
14/6/2020,16
28/6/2020,16
2/8/2020,16
25/10/2020,16
20/12/2020,16
27/12/2020,16
7/2/2021,16
13/6/2021,16
25/7/2021,16
29/5/2022,16
31/7/2022,16
14/8/2022,16
18/6/2023,16
2/7/2023,16
6/8/2023,16
30/6/2024,16
4/8/2024,16
31/5/2020,15
7/6/2020,15
21/6/2020,15
12/7/2020,15
11/7/2021,15
15/8/2021,15
19/12/2021,15
21/8/2022,15
30/7/2023,15
24/5/2020,14
20/6/2021,14
4/7/2021,14
22/8/2021,14
25/6/2023,14
28/7/2024,14
8/8/2021,13
27/6/2021,12
1/8/2021,12
